id_municipio,baixados,novos,pendentes,muni_nm,uf_sigla,regiao_nm,idhm,idhm_e,idhm_l,idhm_r,espvida,rdpc,gini,pop,lat,lon
3202306,2550,1625,75263,GUAÇUÍ,ES,Sudeste,0.703,0.595,0.846,0.691,75.73,587.91,0.52,27450,-20.776,-41.679
3202405,10717,7815,288155,GUARAPARI,ES,Sudeste,0.731,0.626,0.837,0.746,75.21,830.51,0.58,103882,-20.658,-40.511
3202454,1987,1482,50152,IBATIBA,ES,Sudeste,0.647,0.501,0.83,0.651,74.8,458.35,0.45,22164,-20.234,-41.511
3202504,953,502,20042,IBIRAÇU,ES,Sudeste,0.726,0.625,0.835,0.733,75.08,764.33,0.56,11163,-19.832,-40.37
3202553,760,443,19336,IBITIRAMA,ES,Sudeste,0.622,0.481,0.821,0.609,74.24,353.86,0.47,8801,-20.541,-41.667
3202603,858,725,33372,ICONHA,ES,Sudeste,0.729,0.658,0.83,0.709,74.77,660.78,0.45,12452,-20.793,-40.811
3202702,658,726,26701,ITAGUAÇU,ES,Sudeste,0.702,0.641,0.802,0.672,73.1,522.25,0.43,14102,-19.802,-40.856
3202801,3657,2415,87800,ITAPEMIRIM,ES,Sudeste,0.654,0.54,0.808,0.64,73.5,428.61,0.44,30843,-21.011,-40.834
3202900,402,370,19984,ITARANA,ES,Sudeste,0.684,0.568,0.809,0.696,73.51,607.49,0.47,10844,-19.874,-40.875
3203007,2056,1506,75116,IÚNA,ES,Sudeste,0.666,0.537,0.829,0.665,74.74,501.21,0.5,26609,-20.346,-41.536
3203056,1506,771,70219,JAGUARÉ,ES,Sudeste,0.678,0.568,0.81,0.678,73.59,543.6,0.56,24601,-18.906,-40.076
3203106,1068,697,30435,JERÔNIMO MONTEIRO,ES,Sudeste,0.698,0.589,0.844,0.685,75.61,566.32,0.54,10720,-20.789,-41.395
3203130,960,709,38013,JOÃO NEIVA,ES,Sudeste,0.753,0.663,0.857,0.751,76.42,859.01,0.53,15559,-19.758,-40.386
3203163,575,341,15248,LARANJA DA TERRA,ES,Sudeste,0.656,0.55,0.81,0.633,73.59,411.93,0.47,10710,-19.899,-41.057
3203205,17918,11031,379602,LINHARES,ES,Sudeste,0.724,0.63,0.834,0.721,75.05,711.38,0.52,139483,-19.391,-40.072
3203304,1023,659,36553,MANTENÓPOLIS,ES,Sudeste,0.657,0.551,0.81,0.636,73.61,417.83,0.52,13225,-18.863,-41.123
3203320,4404,2575,105266,MARATAÍZES,ES,Sudeste,0.696,0.588,0.847,0.676,75.8,538.07,0.52,33727,-21.043,-40.824
3203346,924,536,34170,MARECHAL FLORIANO,ES,Sudeste,0.71,0.589,0.849,0.715,75.95,683.63,0.48,14177,-20.413,-40.683
3203353,382,409,26911,MARILÂNDIA,ES,Sudeste,0.696,0.612,0.823,0.668,74.35,510.91,0.39,11057,-19.413,-40.542
3203403,1698,1264,60782,MIMOSO DO SUL,ES,Sudeste,0.67,0.541,0.827,0.672,74.64,523.04,0.49,25518,-21.064,-41.366
3203502,901,896,46867,MONTANHA,ES,Sudeste,0.667,0.535,0.816,0.679,73.96,547.46,0.52,17615,-18.127,-40.363
3203601,676,664,27448,MUCURICI,ES,Sudeste,0.666,0.577,0.828,0.617,74.7,372.63,0.48,5588,-18.093,-40.516
3203700,1188,780,44542,MUNIZ FREIRE,ES,Sudeste,0.645,0.512,0.821,0.637,74.24,421.86,0.51,18039,-20.464,-41.413
3203809,884,552,25293,MUQUI,ES,Sudeste,0.694,0.619,0.802,0.673,73.1,528.68,0.52,14193,-20.952,-41.346
3203908,5775,3158,161240,NOVA VENÉCIA,ES,Sudeste,0.712,0.621,0.841,0.692,75.48,592.06,0.48,45434,-18.711,-40.401
3204005,590,1009,47556,PANCAS,ES,Sudeste,0.667,0.562,0.815,0.648,73.89,451.21,0.5,21268,-19.225,-40.851
3204054,562,712,63728,PEDRO CANÁRIO,ES,Sudeste,0.654,0.536,0.812,0.643,73.71,437.08,0.46,23730,-18.03,-40.151
3204104,1329,1048,67360,PINHEIROS,ES,Sudeste,0.673,0.558,0.816,0.668,73.96,509.45,0.49,23599,-18.412,-40.215
3204203,2377,1667,85820,PIÚMA,ES,Sudeste,0.727,0.643,0.852,0.702,76.11,629.9,0.49,17946,-20.835,-40.729
3204302,860,602,51953,PRESIDENTE KENNEDY,ES,Sudeste,0.657,0.553,0.808,0.636,73.5,419.97,0.48,10112,-21.099,-41.047
3204351,742,812,55139,RIO BANANAL,ES,Sudeste,0.681,0.579,0.802,0.68,73.1,550.55,0.5,17336,-19.265,-40.333
3204401,1256,520,18672,RIO NOVO DO SUL,ES,Sudeste,0.711,0.62,0.837,0.692,75.21,594.24,0.48,11186,-20.863,-40.936
3204500,871,346,28489,SANTA LEOPOLDINA,ES,Sudeste,0.626,0.477,0.797,0.646,72.79,445.57,0.55,11568,-20.101,-40.53
3204559,2102,1750,63445,SANTA MARIA DE JETIBÁ,ES,Sudeste,0.671,0.521,0.834,0.695,75.04,603.33,0.49,33347,-20.041,-40.746
3204609,2242,1467,74764,SANTA TERESA,ES,Sudeste,0.714,0.604,0.834,0.722,75.04,716.25,0.48,21681,-19.936,-40.6
3204658,94,256,18326,SÃO DOMINGOS DO NORTE,ES,Sudeste,0.682,0.575,0.811,0.679,73.66,547.57,0.49,7942,-19.144,-40.624
