date,lecture
04/08/25,O que é Jurimetria?
11/08/25,Dados Jurídicos
18/08/25,Visualização de Dados
25/08/25,Prova Estatística
01/09/25,Feriado
08/09/25,Classificação de textos jurídicos
15/09/25,Classificação de textos jurídicos
22/09/25,Quantificação de danos
29/09/25,Duração de processos
06/10/25,Organização da Jurisprudência
13/10/25,Teoria da Decisão
20/10/25,Causalidade
27/10/25,Feriado
03/11/25,Teoria dos Jogos
10/11/25,Priest & Klein
17/11/25,Seminários
25/11/25,Seminários

